Stock_Y,Stock_X,Correlation,Sign
APOLLOHOSP.NS,INDHOTEL.NS,0.9047,positive
GRANULES.NS,OFSS.NS,0.9045,positive
SBIN.NS,HINDPETRO.NS,0.9045,positive
SUNPHARMA.NS,BOSCHLTD.NS,0.9044,positive
AUROPHARMA.NS,MOTHERSON.NS,0.9043,positive
CUMMINSIND.NS,OFSS.NS,0.9043,positive
SHRIRAMFIN.NS,BEL.NS,0.904,positive
EICHERMOT.NS,TORNTPHARM.NS,0.904,positive
HEROMOTOCO.NS,ADANIPORTS.NS,0.9039,positive
NTPC.NS,CUMMINSIND.NS,0.9039,positive
BIOCON.NS,GLENMARK.NS,0.9038,positive
DLF.NS,COALINDIA.NS,0.9036,positive
VOLTAS.NS,GLENMARK.NS,0.9035,positive
METROPOLIS.NS,VOLTAS.NS,0.9034,positive
GRASIM.NS,GAIL.NS,0.9033,positive
DLF.NS,BHEL.NS,0.9032,positive
PETRONET.NS,NAUKRI.NS,0.9032,positive
ICICIGI.NS,IEX.NS,0.9031,positive
DLF.NS,NMDC.NS,0.9029,positive
IRCTC.NS,PNB.NS,0.9028,positive
BPCL.NS,BHEL.NS,0.9024,positive
TVSMOTOR.NS,M&M.NS,0.9024,positive
ULTRACEMCO.NS,POWERGRID.NS,0.9024,positive
DIVISLAB.NS,M&M.NS,0.9023,positive
MUTHOOTFIN.NS,M&M.NS,0.9023,positive
APOLLOHOSP.NS,SHRIRAMFIN.NS,0.9022,positive
BAJAJ-AUTO.NS,VOLTAS.NS,0.9022,positive
ACC.NS,IRCTC.NS,0.9021,positive
PAGEIND.NS,JUBLFOOD.NS,0.9021,positive
AMBUJACEM.NS,HEROMOTOCO.NS,0.9019,positive
METROPOLIS.NS,COLPAL.NS,0.9019,positive
FEDERALBNK.NS,EICHERMOT.NS,0.9019,positive
FEDERALBNK.NS,LUPIN.NS,0.9019,positive
SHRIRAMFIN.NS,TRENT.NS,0.9018,positive
ADANIPORTS.NS,CUMMINSIND.NS,0.9017,positive
ULTRACEMCO.NS,BEL.NS,0.9017,positive
ONGC.NS,CUMMINSIND.NS,0.9017,positive
AMBUJACEM.NS,TATAPOWER.NS,0.9014,positive
APOLLOHOSP.NS,OFSS.NS,0.9014,positive
FEDERALBNK.NS,PERSISTENT.NS,0.9012,positive
JINDALSTEL.NS,INDUSTOWER.NS,0.9012,positive
ICICIBANK.NS,TORNTPHARM.NS,0.9011,positive
AMBUJACEM.NS,PNB.NS,0.901,positive
NTPC.NS,HINDPETRO.NS,0.901,positive
AUROPHARMA.NS,RECLTD.NS,0.9009,positive
BHARTIARTL.NS,PERSISTENT.NS,0.9007,positive
APOLLOHOSP.NS,ICICIGI.NS,0.9006,positive
ASHOKLEY.NS,BEL.NS,0.9006,positive
AUROPHARMA.NS,TRENT.NS,0.9006,positive
DIVISLAB.NS,INDHOTEL.NS,0.9006,positive
JINDALSTEL.NS,BHEL.NS,0.9005,positive
POWERGRID.NS,VOLTAS.NS,0.9004,positive
GLENMARK.NS,OFSS.NS,0.9002,positive
JSWSTEEL.NS,M&M.NS,0.9002,positive
ASHOKLEY.NS,INDUSTOWER.NS,0.9001,positive
ICICIGI.NS,VOLTAS.NS,0.9001,positive
IRCTC.NS,TATAMOTORS.NS,0.9001,positive
AUROPHARMA.NS,GAIL.NS,0.9,positive
GAIL.NS,HINDPETRO.NS,0.9,positive
