Entry_Date,Stock_Y,Stock_X,ADF_PValue_Entry,ZScore_Entry,Beta,Intercept,StdErr_Residual,Position,Exit_Date,ADF_PValue_Exit,ZScore_Exit,Entry_Open_Price_X,Exit_Open_Price_X,Entry_Open_Price_Y,Exit_Open_Price_Y,Lot_Size_X,Lot_Size_Y,Trade_PnL,Returns
19-02-2025,BANDHANBNK.NS,LAURUSLABS.NS,0.026120863,-2.737239841,-0.212992781,285.7439904,13.08259179,long,06-03-2025,0.013098407,-0.69525353,546.75,580.55,133.48,149.3,1,1,-17.98,-0.0264
14-02-2025,BANDHANBNK.NS,LAURUSLABS.NS,0.002995872,-2.796541073,-0.206414228,283.0706862,12.49659011,long,18-02-2025,0.016371691,-3.072128675,546.2,546,135.38,130.31,1,1,-4.87,-0.0071
09-06-2025,BANDHANBNK.NS,MUTHOOTFIN.NS,0.010196507,4.316682429,-0.098771694,375.2667521,14.32662016,short,10-06-2025,0.039759909,3.782138266,2539.9,2553.6,186.24,181.09,1,1,18.85,0.0069
29-07-2024,BANDHANBNK.NS,SUNPHARMA.NS,0.030175176,2.994667143,-0.095376637,342.8100671,13.49656448,short,13-08-2024,0.058800059,0.836610181,1723.25,1740.1,218.87,192.6,1,1,43.12,0.0222
29-07-2024,BANDHANBNK.NS,ZEEL.NS,0.003112073,2.708673999,0.363636056,138.4992524,10.33845943,short,08-08-2024,0.005275007,0.797265867,144.01,138.25,218.87,199.18,1,1,13.93,0.0384
13-01-2025,BANDHANBNK.NS,INDHOTEL.NS,0.003833023,-2.954918545,-0.12740443,273.9070063,13.50511745,long,14-02-2025,0.057322898,-3.147136312,756.1,710.2,137.67,135.38,1,1,43.61,0.0488
09-06-2025,BANDHANBNK.NS,LAURUSLABS.NS,0.003312744,3.169801485,-0.247852346,305.3940956,14.5908717,short,30-06-2025,0.212520858,3.023977483,667.35,724.85,186.24,189.64,1,1,54.1,0.0634
13-01-2025,BANDHANBNK.NS,PERSISTENT.NS,0.02238222,-2.539887661,-0.010103591,240.2709718,16.51454035,long,21-04-2025,0.763887677,-0.561092098,6003.4,4900.5,137.67,167.94,1,1,1133.17,0.1845
12-07-2024,BANKBARODA.NS,TATAMOTORS.NS,0.007008109,-2.589632913,0.1936749,77.91333441,9.357420015,long,25-07-2024,0.033277823,-4.25027546,1016.75,1090.95,250.6,245.35,1,1,-79.45,-0.0627
12-07-2024,BANKBARODA.NS,LICI.NS,0.013368773,-2.556365685,0.183391374,82.36374615,9.626536665,long,19-07-2024,0.048732855,-3.335847953,1051.55,1108.25,250.6,250.6,1,1,-56.7,-0.0435
12-07-2024,BANKBARODA.NS,GODREJCP.NS,0.011712091,-3.283465119,0.212118845,-9.651364038,14.01782357,long,23-07-2024,0.051084167,-3.553015967,1443.9,1516.7,250.6,251.1,1,1,-72.3,-0.0427
24-07-2024,BANKBARODA.NS,ONGC.NS,0.000419021,-3.706333375,0.662238555,81.99432466,12.05035962,long,25-07-2024,0.254225099,-4.708172286,319.55,335.8,248.95,245.35,1,1,-19.85,-0.0349
05-08-2024,BANKBARODA.NS,ONGC.NS,0.015467231,-2.772189515,0.595999611,95.73576834,14.67960633,long,07-08-2024,0.009915969,-3.128221233,310.25,329.1,239.95,243.4,1,1,-15.4,-0.028
25-07-2024,BANKBARODA.NS,BPCL.NS,0.034983895,-3.175207193,0.528975604,103.7934498,9.753326928,long,31-07-2024,0.104223956,-3.238059133,326.15,350.05,245.35,253.65,1,1,-15.6,-0.0273
12-07-2024,BANKBARODA.NS,AMBUJACEM.NS,0.0338229,-3.258593097,0.345696934,50.53052467,10.37088508,long,23-07-2024,0.093516964,-3.12581537,676.5,691.35,250.6,251.1,1,1,-14.35,-0.0155
12-07-2024,BANKBARODA.NS,ONGC.NS,0.016346288,-3.959093964,0.704806363,73.89094447,10.03688647,long,15-07-2024,0.041120855,-4.063107395,307.1,322.5,250.6,258.55,1,1,-7.45,-0.0134
30-07-2024,BANKBARODA.NS,ONGC.NS,0.002123254,-3.059109766,0.628487596,88.92193066,13.48985916,long,31-07-2024,0.002711502,-3.234799345,331.9,334.2,256.25,253.65,1,1,-4.9,-0.0083
12-07-2024,BANKBARODA.NS,ADANIPORTS.NS,0.018017563,-3.136997149,0.117107481,106.1895624,9.465498633,long,25-07-2024,0.063859892,-3.178632351,1486.7,1487,250.6,245.35,1,1,-5.55,-0.0032
29-10-2024,BANKBARODA.NS,INTELLECT.NS,0.008339063,2.890322291,0.158451914,99.30093724,13.45044786,short,21-11-2024,0.044846811,0.483123761,734.5,705.95,254.56,228.5,1,1,-2.49,-0.0025
01-08-2024,BANKBARODA.NS,ONGC.NS,0.003577337,-3.606538047,0.613906326,91.9457688,14.00186412,long,02-08-2024,0.011244772,-3.470027566,341.75,330.1,251.25,243.7,1,1,4.1,0.0069
22-07-2024,BANKBARODA.NS,ONGC.NS,0.000302996,-3.709495232,0.672946849,79.97376362,11.55281291,long,23-07-2024,0.000476571,-3.344254172,320.8,314.15,253,251.1,1,1,4.75,0.0083
26-07-2024,BANKBARODA.NS,ONGC.NS,0.003491488,-3.859565702,0.644626041,85.59223921,12.86420423,long,29-07-2024,0.002827758,-3.263079539,331.6,332.9,249.7,255.9,1,1,4.9,0.0084
18-07-2024,BANKBARODA.NS,ONGC.NS,0.000169352,-4.574751767,0.687227929,77.22411536,10.87001732,long,19-07-2024,0.000434989,-4.017320651,331.7,319.65,255.45,250.6,1,1,7.2,0.0123
31-01-2025,BANKBARODA.NS,PNB.NS,0.038220297,-2.841146414,1.079199592,129.5023874,8.914494247,long,13-03-2025,0.252714124,-0.820915139,101.2,87.2,213.39,205.52,1,1,6.13,0.0195
28-10-2024,BANKBARODA.NS,PNB.NS,0.03853145,2.634133713,1.298976953,101.9086864,7.547158971,short,18-11-2024,0.068551049,0.895414705,98.64,100.53,249.92,241.4,1,1,10.41,0.0299
25-07-2024,BANKBARODA.NS,IOC.NS,0.003942798,-2.529222828,0.869298263,117.2529542,10.13684949,long,20-08-2024,0.045388338,-0.867245524,176.85,172.23,245.35,254.35,1,1,13.62,0.0323
31-01-2025,BANKBARODA.NS,IRCTC.NS,0.006056434,-2.582961916,0.112536462,150.3781766,11.43141471,long,13-03-2025,0.041337547,-0.880733871,822.3,689.05,213.39,205.52,1,1,125.38,0.1211
28-04-2025,BANKBARODA.NS,NMDC.NS,0.002040224,2.858920325,2.238151622,77.38738323,9.82667427,short,06-05-2025,0.00245761,0.118825717,65.71,64.36,252.55,223.91,1,2,55.93,0.1757
20-05-2025,BEL.NS,ZEEL.NS,0.044766081,3.884533012,0.522130049,225.3752938,19.11418633,short,21-05-2025,0.067622463,4.808459473,122.91,124.05,363.8,383,1,1,-18.06,-0.0371
14-08-2024,BEL.NS,TRENT.NS,0.044438237,-3.073607843,0.049889871,25.75458407,17.329155,long,19-08-2024,0.052069725,-3.08938424,6438.35,6689.9,293.7,302.15,1,1,-243.1,-0.0361
13-05-2025,BEL.NS,ZEEL.NS,0.010378224,2.51291744,0.494939835,226.3176918,19.29250282,short,15-05-2025,0.027427909,3.174093079,123.15,126.93,335.75,350.4,1,1,-10.87,-0.0237
16-05-2025,BEL.NS,ZEEL.NS,0.023798517,3.791313907,0.509705837,225.8520802,18.97873946,short,19-05-2025,0.030186464,3.77176239,129.67,128.53,363.9,363.75,1,1,-0.99,-0.002
13-05-2025,BEL.NS,OFSS.NS,0.027180982,2.719621105,0.004622071,242.8907347,19.7355968,short,14-05-2025,0.040260193,3.09987885,8478,8504,335.75,344.35,1,1,17.4,0.002
14-05-2025,BEL.NS,TRENT.NS,0.030475546,2.75741887,0.003637184,267.6698268,20.73591346,short,16-05-2025,0.050076549,3.584859533,5362,5583,344.35,363.9,1,1,201.45,0.0353
16-04-2025,BHARATFORG.NS,ADANIPORTS.NS,0.004628161,-2.6087961,1.284987316,-302.9601639,86.70695043,long,05-05-2025,0.055941893,-3.771612094,1232.9,1347.1,1055.1,1119.6,1,1,-49.7,-0.0217
14-10-2024,BHARTIARTL.NS,INDIGO.NS,0.040230858,2.512684896,0.284854542,222.608842,55.78531505,short,28-10-2024,0.194859118,4.485810709,4678.95,4015.45,1695.6,1663.35,1,1,-631.25,-0.099
19-09-2024,BHARTIARTL.NS,INDUSTOWER.NS,0.045120163,3.961539768,2.248619375,565.8722437,56.15642907,short,20-09-2024,0.258534784,4.714014788,389.8,388.25,1664.85,1711.75,1,2,-95.35,-0.0464
20-01-2025,BHARTIARTL.NS,TRENT.NS,0.00436822,2.890650124,0.125061301,730.2722799,51.63351395,short,21-01-2025,0.011254126,3.394262316,6090,5736.95,1641.15,1626.15,1,1,-338.05,-0.0437
30-09-2024,BHARTIARTL.NS,INDIGO.NS,0.022661772,2.721039037,0.276394347,249.0327231,50.45614987,short,07-10-2024,0.024271033,3.20754404,4787.45,4485.2,1709.55,1662.05,1,1,-254.75,-0.0392
13-08-2024,BHARTIARTL.NS,TRENT.NS,0.003393233,-3.17228063,0.160455805,571.6951009,42.86379595,long,19-08-2024,0.004131863,-3.699184466,6381.7,6689.9,1459.7,1469.65,1,1,-298.25,-0.038
26-08-2024,BHARTIARTL.NS,TRENT.NS,0.035411318,-2.666567112,0.152108457,596.0214433,50.96955627,long,12-09-2024,0.02537109,-0.106196021,6925.6,7210.5,1513.55,1646.75,1,1,-151.7,-0.018
16-01-2025,BHARTIARTL.NS,VOLTAS.NS,0.000815812,2.69084131,0.667367593,434.297369,50.68667808,short,20-01-2025,0.002088643,3.344278017,1587.6,1546.35,1630.2,1641.15,1,1,-52.2,-0.0162
23-01-2025,BHARTIARTL.NS,VOLTAS.NS,0.025059109,3.580274279,0.662646927,445.7018594,55.27089239,short,24-01-2025,0.028657267,4.116224272,1497.65,1456.6,1636,1644.8,1,1,-49.85,-0.0159
09-08-2024,BHARTIARTL.NS,TRENT.NS,0.000731172,-2.894802175,0.161962964,567.7447239,41.46019134,long,12-08-2024,0.002212972,-3.339193087,6275.35,6382.35,1464.1,1458.6,1,1,-112.5,-0.0145
24-09-2024,BHARTIARTL.NS,INDIGO.NS,0.016434001,4.002043459,0.271180319,264.5784822,45.74088158,short,25-09-2024,0.06131729,4.178639371,4827.1,4782.2,1756.65,1760.4,1,1,-48.65,-0.0074
21-01-2025,BHARTIARTL.NS,VOLTAS.NS,0.005446552,3.507598654,0.666036411,438.5215745,52.93552944,short,22-01-2025,0.010795549,3.737849977,1504.35,1487.05,1626.15,1631.75,1,1,-22.9,-0.0073
